grayscale_toggle,distance,fee_config,unit_fee,pickdrop_fee,min_fee,hub_config_source,discount_rate,group_member_fee_list,fee_config,surge_rate,is_decoupled,shipping_fee,distance,shipping_fee_no_surge,final_shipping_fee,total_single_shipping_fee,hub_stack_shipping_fee,hub_calculate_details,dropoff_points,lng_lat_compare_precision,package_increase_original_fee_replace,unique_pickup_points_toggle,original_dropoff_points,hub_stack_fee,pickup_points,package_decrease_original_fee_replace,discount_fee,unique_dropoff_points_toggle,original_delivery_info,delivery_order_ids,hub_extra_fee
1,3733.9,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3733.9,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,14002.125,2,False,18900.0,False,{'shipping_fee': 27000.0,[513339914 513346625]},2000}
1,4340.1,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,4340.1,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,16275.375000000002,2,False,18900.0,False,{'shipping_fee': 13500.0,[513354788]},2000}
1,5123.2,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,5123.2,13500.0,27000,27000,21212.0,{'original_pickup_points': 2,2,-1,False,False,2,19212.0,2,False,18900.0,False,{'shipping_fee': 13500.0,[513377322]},2000}
1,1805.9,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1805.9,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513377540 513379517]},2000}
1,4985.8,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,4985.8,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,18696.75,2,False,18900.0,False,{'shipping_fee': 13500.0,[513361499]},2000}
1,5496.8,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,5496.8,13500.0,27000,27000,22613.0,{'original_pickup_points': 2,2,-1,False,False,2,20613.0,2,False,18900.0,False,{'shipping_fee': 13500.0,[513360140]},2000}
1,3261.3,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3261.3,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513371758 513371828]},2000}
1,2028.2,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2028.2,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513363544]},2000}
1,3237.8,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3237.8,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513354094 513360861]},2000}
1,4689.6,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,4689.6,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,17586.0,2,False,18900.0,False,{'shipping_fee': 13500.0,[513348219]},2000}
1,3573.7,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3573.7,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513377627]},2000}
1,3432.9,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3432.9,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513371495]},2000}
1,4132.89,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,4132.89,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,15498.337500000001,2,False,18900.0,False,{'shipping_fee': 13500.0,[513365417]},2000}
1,1884.0,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1884.0,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513371478 513373253]},2000}
1,3018.2,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3018.2,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513373321]},2000}
1,1447.9,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1447.9,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513363231]},2000}
1,2114.69,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,2114.69,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513357785 513360764]},2000}
1,4275.5,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,4275.5,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,16033.125,2,False,18900.0,False,{'shipping_fee': 13500.0,[513369856]},2000}
1,1984.8,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1984.8,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513368466 513375060]},2000}
1,4865.39,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,4865.39,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,18245.2125,2,False,18900.0,False,{'shipping_fee': 13500.0,[513370580]},2000}
1,1146.2,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,1146.2,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513365919 513370457]},2000}
1,3050.2,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3050.2,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 13500.0,[513373788]},2000}
1,3570.2,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,3570.2,13500.0,27000,27000,20900.0,{'original_pickup_points': 2,2,-1,False,False,2,13500,2,False,18900.0,False,{'shipping_fee': 27000.0,[513374092 513375073]},2000}
1,5569.9,{'is_round_up': True,0,1000,13500,'admin',0.7},[{'shipping_fee_no_surge': 13500.0,{'is_round_up': True,1.0,True},13500,5569.9,13500.0,27000,27000,22888.0,{'original_pickup_points': 2,2,-1,False,False,2,20887.125,2,False,18900.0,False,{'shipping_fee': 27000.0,[513368891 513369435]},2000}
