"report_date","logic_segment","shipper_id","city_name","total_order","total_order_spxi","total_assign"
"2024-04-04","new","13120816","HCM City","17","8","25"
"2024-04-04","new","40769216","Ha Noi City","23","12","23"
"2024-04-04","new","17078766","HCM City","21","21","21"
"2024-04-04","new","20431523","Ha Noi City","22","6","26"
"2024-04-04","new","11102630","HCM City","18","18","30"
"2024-04-04","new","10566446","Ha Noi City","22","13","34"
"2024-04-04","new","4897128","HCM City","26","13","36"
"2024-04-04","new","41417144","Ha Noi City","29","29","35"
"2024-04-04","new","41547547","Ha Noi City","25","25","28"
"2024-04-04","new","22026577","Ha Noi City","25","25","28"
"2024-04-04","new","41700066","HCM City","16","8","40"
"2024-04-04","new","20424839","HCM City","19","12","20"
"2024-04-04","new","5325081","HCM City","21","21","24"
"2024-04-04","new","17206016","HCM City","14","0","18"
"2024-04-04","new","18480411","HCM City","25","14","26"
"2024-04-04","new","40217098","Ha Noi City","23","17","29"
"2024-04-04","new","16523275","HCM City","21","16","27"
"2024-04-04","new","6783422","HCM City","31","9","31"
"2024-04-04","new","16524122","Ha Noi City","33","17","33"
"2024-04-04","new","15512408","Ha Noi City","34","14","36"
"2024-04-04","new","14233002","Ha Noi City","17","0","21"
"2024-04-04","new","40069161","HCM City","17","2","18"
"2024-04-04","new","15062313","HCM City","18","2","18"
"2024-04-04","new","11832016","HCM City","15","10","17"
"2024-04-04","new","10550805","HCM City","20","1","24"
"2024-04-04","new","15277042","Ha Noi City","17","0","23"
"2024-04-04","new","41277753","Ha Noi City","10","3","17"
"2024-04-04","new","2867400","HCM City","27","4","33"
"2024-04-04","new","41701866","Ha Noi City","23","6","25"
"2024-04-04","new","19166443","Ha Noi City","25","25","37"
"2024-04-04","new","14622471","HCM City","17","9","24"
"2024-04-04","new","20194067","HCM City","24","15","25"
"2024-04-04","new","11993847","Ha Noi City","23","3","33"
"2024-04-04","new","12167314","Ha Noi City","25","16","25"
"2024-04-04","new","17083403","HCM City","23","12","23"
"2024-04-04","new","41450539","HCM City","23","15","28"
"2024-04-04","new","41860273","Ha Noi City","29","29","34"
"2024-04-04","new","6456376","Ha Noi City","24","11","27"
"2024-04-04","new","40076843","HCM City","21","6","23"
"2024-04-04","new","50081976","Ha Noi City","20","14","21"
"2024-04-04","new","41609662","HCM City","21","12","23"
